ohrc_product,tmc2_product,tmc2_lat_min,tmc2_lat_max,tmc2_lon_start,tmc2_lon_end
ch2_ohr_ncp_20211228T2209123959_d_img_d18,ch2_tmc_ncn_20220122T1835221477_g_grd_d18,-89.3564645,-60.1324924,138.73811899999998,-94.67665599999998
ch2_ohr_ncp_20211228T2209123959_d_img_d18,ch2_tmc_ncn_20220123T1809512954_g_grd_d18,-89.4008044,-59.7116736,120.388555,-107.48765600000002
ch2_ohr_ncp_20211228T2209123959_d_img_d18,ch2_tmc_ncn_20220123T2007488409_g_grd_d18,-89.5611997,-59.7568294,143.920191,-108.52923099999998
ch2_ohr_ncp_20211228T2209123959_d_img_d18,ch2_tmc_ncn_20220124T0201197622_g_grd_d18,-89.4441622,-59.7477572,108.47604799999999,-111.65176299999996
ch2_ohr_ncp_20211228T2209123959_d_img_d18,ch2_tmc_ncn_20220125T0135473485_g_grd_d18,-89.7660741,-59.6270984,113.608991,-124.17161399999998
ch2_ohr_ncp_20211228T2209123959_d_img_d18,ch2_tmc_ncn_20220125T0333344846_g_grd_d18,-89.5953129,-59.6911657,83.10139240000001,-125.21713499999998
